,item,n_steps
188477,262592,2
188479,264909,1
188480,535230,6
188486,274757,12
188487,45782,4
188488,116137,2
188555,58846,4
188616,14171,2
189225,312415,1
189414,247147,9
189516,188013,4
189525,423072,4
189526,360561,3
189527,174277,2
189528,178647,2
190251,44024,3
190253,266057,2
190256,457385,2
190385,16589,3
190406,248599,3
190456,81401,10
190575,15527,2
190579,219663,2
190596,286332,5
190624,328493,9
190636,253727,3
190653,262144,3
190669,291105,8
190672,458180,7
190682,331848,3
190736,124210,15
190763,275518,4
190802,401699,2
190803,341088,4
190886,115298,2
191154,324128,3
191228,222022,3
191232,311215,5
191234,234243,5
191465,81753,1
191811,303875,3
191821,345266,2
191822,277324,3
191823,230023,6
191992,309558,2
192017,132183,6
192022,250163,2
192225,379023,4
192315,223670,1
192323,196685,3
192325,310664,3
192353,314137,1
192358,330088,5
192398,121445,3
192427,123026,3
192430,475321,5
192439,340670,2
192448,96166,2
192474,129661,2
192482,55089,7
192543,180971,4
192544,422485,1
192648,328169,6
192902,369713,6
193156,255818,3
193858,369734,6
193902,238838,1
193917,369929,2
193919,369758,2
194015,20493,4
194016,369796,5
194119,252917,5
194124,260302,3
194126,268953,8
194136,458357,8
194140,285088,9
194150,488715,8
194152,379472,7
194155,229351,3
194162,405700,4
194168,257047,6
194169,167417,7
194204,16178,6
194403,75557,6
194430,425350,1
194493,314335,3
194529,276213,5
194533,288537,4
194795,339018,5
194840,238392,5
194891,348519,1
194894,174309,5
194906,245069,3
194971,490045,3
195003,121039,3
195061,110156,3
195345,37533,5
195396,219209,8
196270,326342,3
196308,245541,5
196445,502884,5
196818,262629,6
197200,296497,2
197201,246260,8
197202,422492,3
197204,390120,1
197207,292311,4
197208,325514,3
197216,100882,3
198305,317173,1
198372,29105,3
198473,36635,3
198503,380698,7
198589,185229,1
198590,184328,2
198746,279868,2
198811,232665,5
198818,188398,3
198829,448585,5
198854,457044,2
198885,328604,5
198889,313033,2
198977,223788,6
199024,311166,8
199034,231530,4
199569,73640,5
199571,429096,6
199639,298018,4
199884,258564,3
200164,247262,6
200165,401537,7
200166,118253,2
200167,401931,3
200179,382869,1
200344,183441,2
200349,282963,3
200377,29462,3
200418,250151,3
200453,170262,2
200476,326815,4
200495,122224,4
200497,375460,6
200504,369326,7
200520,251811,2
200631,157690,3
200632,408048,4
200635,170931,5
200636,265951,2
200671,240614,6
200684,121754,4
200685,122141,7
200699,321643,4
200749,334432,1
200757,235738,1
200769,122547,3
200833,433355,10
200837,171819,6
200838,423850,2
200840,171820,5
200841,388823,12
200842,251824,3
200843,298139,1
200911,120662,7
200929,222474,4
200957,313943,5
200992,283180,3
200994,55225,8
201029,515577,8
201033,226886,6
201039,65909,3
201050,456586,16
201053,307878,4
201056,169082,8
201062,512283,4
201065,433560,4
201070,257462,6
201081,290974,1
201089,95096,6
201126,222261,6
201135,280641,2
201181,223827,2
201272,121718,5
201289,122288,8
201297,383519,10
201301,419029,5
201310,299873,10
201360,52555,3
201378,122060,6
201393,278197,3
201440,87550,5
201465,465624,4
201494,95043,3
201501,167343,5
201601,311646,8
201616,279511,2
201623,100949,3
201680,16148,2
202451,147818,6
202490,15420,2
202506,267594,3
202546,149271,3
202700,363399,5
202725,164657,9
202791,269097,2
202889,237957,2
202975,280489,7
203014,180734,3
203015,71090,3
203024,314055,5
203038,304854,2
203057,298352,1
203110,461103,4
203143,480230,6
203152,260283,3
203219,241845,6
203230,15897,3
203276,308246,3
203277,243742,2
203349,242818,3
203380,258857,3
203381,65815,2
203544,484388,1
203637,223789,3
203673,32686,4
203677,468558,5
203694,213192,3
203695,242023,3
203710,115397,6
203719,317493,6
203740,71103,5
203751,47057,2
203762,321260,3
203763,364198,3
203766,160503,5
203768,306059,9
203784,24783,2
203834,318203,2
204459,312109,3
204703,172217,4
204705,32474,3
204888,68262,6
204891,210296,3
204899,252365,2
205054,424013,3
205195,133730,1
205398,115301,5
205500,174297,1
205870,164176,6
206199,294753,2
206795,249716,3
206798,301024,5
206875,206556,5
206896,161977,3
206904,502258,13
207059,250230,1
207061,220241,2
207575,265891,5
207588,213528,4
207596,272602,4
207597,272139,4
207599,272605,2
207600,272604,4
207603,272138,4
208063,16491,3
208065,456117,3
208066,290942,4
208074,458193,2
208075,457973,3
208088,318378,2
208094,256088,2
208116,374548,2
208130,237205,3
208315,455580,4
208316,304867,4
208330,439375,7
208336,223363,2
208348,229110,1
208584,172701,3
208814,277907,2
208842,228631,4
209009,69522,15
209154,220263,1
209156,251253,2
209222,204386,4
209236,189180,5
209255,199217,4
209278,456498,3
209280,255331,4
209449,150312,4
209451,326246,5
209452,242928,5
209462,273938,2
209473,310949,2
209474,31578,2
209479,249512,1
209481,226122,5
209490,220250,5
209498,230337,4
209499,331143,1
209513,36220,2
209514,35869,4
209515,171953,7
209518,341543,2
209523,370291,3
209524,360083,7
209527,185304,3
209530,16700,5
209532,301824,4
209533,297788,5
209534,36341,5
209535,97239,7
209536,423846,4
209538,449518,4
209573,249484,2
209780,25073,3
209866,230684,10
210114,223896,2
210169,287244,3
210206,162171,3
210252,326113,7
210285,169601,1
210303,105480,6
210569,353561,2
211068,178125,5
211113,270263,3
211127,106366,5
211170,273250,3
211199,217183,7
211310,387288,17
211452,431639,7
211574,457832,3
211694,64855,6
211733,178245,4
211757,72028,13
211799,297721,1
211805,271141,6
211811,213053,1
211814,464046,3
211818,232298,3
211819,284536,1
211848,75604,4
211882,75599,3
211894,72387,3
211897,73658,3
211905,8837,3
211913,243098,2
211927,134111,3
211928,215899,2
212039,506895,2
212041,144769,2
212049,313997,3
212050,45419,1
212060,259718,8
212083,115078,5
212096,345034,8
212099,251306,3
212120,280253,1
212128,27227,4
212136,440931,2
212148,60354,4
212179,431978,10
212186,287493,1
212188,375025,3
212197,193763,3
212198,85408,8
212199,133143,2
212204,329231,1
212218,299514,3
212222,314719,4
212224,234292,2
212225,29803,3
212246,279565,9
212253,142883,2
212259,201792,5
212288,75602,5
212292,259778,4
212331,372860,3
212337,289213,5
212358,167763,3
212367,290370,5
212400,355747,10
212404,174091,4
212419,327488,4
212428,430904,3
212459,283673,22
212464,327382,11
212478,116106,5
212547,236278,1
212550,167546,3
212555,15732,2
212562,369072,2
212566,503962,9
212569,485507,7
212574,446489,3
212581,266063,3
212593,375019,1
212601,81236,3
212615,364304,7
212628,351319,1
212634,251178,4
212660,87298,4
212704,36311,10
212707,65503,4
212743,209078,5
212745,300883,1
212746,41134,3
212787,178648,2
212793,258864,1
212798,75601,4
212902,118873,4
213167,96903,4
213198,94929,3
213342,307177,2
213368,194279,3
213409,297460,3
213411,364163,7
213440,453048,7
213441,207825,4
213446,264270,2
213471,270197,2
213483,291506,3
213489,362223,6
213491,298110,2
213494,455625,2
213625,264439,3
213670,483789,4
213699,242485,5
213700,114084,2
213718,280859,3
213728,457387,2
213762,263628,5
213793,304534,5
213800,191154,11
213804,234746,2
213809,304710,2
213858,104034,8
213883,413258,8
213890,179481,2
214051,275784,3
214052,258712,4
214059,457915,2
214440,425215,4
214441,527471,2
214459,517501,2
214460,8525,7
214475,505624,2
214487,327696,3
214509,122066,3
214719,429550,3
214932,7946,3
215142,91491,5
215340,73446,4
215344,67342,3
215427,405183,6
215469,91577,2
215522,457969,2
215526,108621,5
215527,270199,1
215528,451460,5
215530,253725,2
215532,329227,3
215552,253962,8
215570,299648,9
215576,283500,11
215585,33351,5
215590,463883,5
215946,233507,3
215952,297563,4
216006,480229,3
216098,15340,10
216134,477446,7
216158,163845,12
216237,253286,6
216238,262659,10
216251,302740,4
216256,32797,2
216280,316265,2
216283,316118,4
216500,433515,2
216534,131000,6
216569,285061,3
216634,198618,3
216664,264073,4
216665,372641,3
216666,318635,3
216680,34070,4
216698,231027,2
216701,245414,3
216711,55806,3
216714,245705,5
216723,340733,3
216728,369391,4
216734,300719,3
216735,34130,3
216740,360468,3
216760,258880,3
216775,378679,4
216797,287495,1
216798,45769,1
216806,318559,6
216809,295570,2
216822,251237,4
216829,45779,1
216870,483899,4
216877,67011,2
216893,292884,3
216894,161969,2
216906,228501,4
216910,356360,9
216913,334115,2
216915,326426,2
216952,95987,2
216967,342724,3
216981,444195,6
217027,288802,4
217048,221135,6
217068,174385,4
217111,253966,5
217117,250815,6
217188,292899,3
217767,418656,19
217768,372491,3
218652,45758,1
218920,284939,5
219031,45781,1
219035,8433,1
219054,193556,5
219067,483707,3
219244,135107,8
219432,125557,5
219483,167748,2
219554,174016,4
219601,423077,3
219622,45717,1
219781,84613,7
219826,269369,5
219948,185604,1
219983,48815,1
220099,325750,3
220189,253724,3
220211,374941,2
220217,16653,3
220258,315945,13
220272,320998,4
220313,128304,2
220339,456419,2
220352,289310,1
220362,177984,2
220367,155731,2
220389,19440,11
220390,19391,5
220393,22992,2
220399,398617,2
220403,347701,4
220406,382537,2
220465,211811,2
220487,405674,10
220506,214841,5
220519,510593,9
220520,249052,7
220522,347800,5
220525,163973,3
220540,217528,2
220543,216317,5
220562,233882,2
220584,239118,1
220613,315267,2
220643,166673,6
220726,171001,1
220731,299915,4
220752,163981,5
221919,33218,3
222627,284498,2
222676,67208,3
222677,247006,2
222684,450729,5
222844,377832,2
222897,75969,5
222983,246063,4
223051,186110,6
223151,315653,3
223166,13267,3
223221,162990,3
223232,269416,3
223284,216535,3
223429,504494,3
223554,426189,2
223586,161469,2
223588,91520,3
223630,115403,5
223654,233765,7
223655,308866,7
223658,54581,2
223659,32775,2
223660,255839,7
223661,364253,3
223664,182702,7
223666,503063,1
223667,167288,14
223668,433547,4
223669,59741,4
223671,422974,7
223672,231560,7
223673,163176,5
223679,163173,7
223680,405931,2
223683,126180,4
223725,454534,1
223747,332635,3
223752,342951,7
223753,258374,4
223756,335462,2
223758,217405,3
223760,328152,4
223761,238006,4
223763,310175,6
223765,127209,5
223770,73214,4
223777,382866,8
223778,247476,2
223779,341113,2
223782,239757,5
223784,270535,2
223785,22911,5
223788,327526,13
223789,213190,6
223797,244250,3
223809,289178,1
223810,245847,4
223816,302568,1
223896,491394,3
223903,36977,6
223904,440382,3
223911,346375,2
223923,246665,2
223961,366756,2
224213,105180,2
224508,338333,9
224533,53796,5
224584,424960,2
224603,86557,3
224604,217529,2
224619,50797,4
224643,251301,2
224686,439880,6
224687,109601,4
224700,328206,4
224745,227907,4
224779,475013,8
224787,137963,4
224790,93110,2
224792,94819,4
224793,313930,2
224798,31471,7
224800,503512,2
224803,389209,8
224805,480683,2
224808,429904,6
224816,44838,3
224820,280457,3
224822,33974,3
224823,53816,6
224825,182985,4
224826,368735,5
224827,99119,3
224840,34621,4
224848,237082,9
224856,173651,8
224860,128314,8
224868,321913,2
224883,477292,4
224884,353473,12
224886,300187,8
224887,307488,9
224892,177321,7
224953,368913,2
224956,104049,2
224959,166180,3
224960,263402,4
225296,482391,4
225354,401291,10
225373,40495,13
225378,262661,7
225454,216275,2
225509,300059,6
225549,108520,2
225554,381172,2
225555,223826,2
225577,314122,5
225584,287497,4
225790,289874,2
225808,444189,15
225809,161549,3
225816,200461,4
225818,103575,4
225821,8443,2
225824,155730,1
225825,75688,1
225841,227058,3
225842,53768,5
226019,57891,1
226162,317175,5
226262,451251,3
226272,141866,4
226292,299068,6
226293,460299,2
226413,262145,3
226429,76984,3
226439,254950,3
226441,173864,2
226461,425179,2
226473,139667,6
226488,507166,2
226496,284326,3
226497,274760,4
226525,217531,3
226531,288645,15
226532,280302,7
226553,292119,2
226567,270574,4
226568,277499,4
226571,423847,2
226575,80059,3
226579,318071,3
226606,62275,3
226649,228748,4
226654,281285,3
226667,318377,1
226668,175724,5
226678,288799,5
226683,219437,6
227199,473112,2
227205,238205,19
227207,191999,4
227242,293763,3
227298,456169,3
227299,51565,1
227335,95291,4
227353,413449,4
227408,215593,5
227532,317942,13
227632,429618,3
227638,91522,1
227639,177981,2
227665,35215,3
227666,28502,5
227683,290326,2
227684,178485,3
227686,71089,4
227888,273860,5
227918,384108,4
227921,259553,6
227926,332069,3
227933,205275,2
227942,188019,3
227970,257260,5
228114,133342,2
228115,347791,4
228116,56130,4
228126,177878,2
228211,63124,4
228252,346981,3
228298,16047,3
228323,449905,1
228378,252507,3
228413,356961,3
228651,414475,8
228718,274962,1
228750,187169,4
228865,251232,4
228872,251257,4
228873,220993,2
228875,259045,1
228876,210572,5
228877,210408,5
228878,348025,1
228879,220994,3
228880,210451,6
228881,334439,1
228882,210409,4
228883,203712,6
228884,203720,5
228885,258940,2
228886,221764,3
228887,210404,5
228888,252512,3
228889,203728,5
228901,251229,6
228931,59148,2
229069,231631,4
229106,87512,2
229107,292887,1
229108,12791,2
229119,126943,4
229174,351318,1
229175,63851,3
229234,274877,2
229235,342719,3
229236,265908,2
229289,213182,2
229677,443502,8
229748,292214,2
229794,35412,4
229810,189415,3
230115,215764,8
230230,449287,4
230232,522942,3
230264,183404,1
230320,360189,6
230329,498523,3
230382,423088,2
230766,428485,3
230828,213532,2
230833,14224,2
230834,238533,2
