,item,n_steps
67679,281936,3
67682,373746,5
67683,173255,3
67689,96393,4
67723,57841,3
67753,106894,3
67856,238818,6
67862,482125,8
67871,3507,1
67896,424919,4
67912,329026,9
67919,485111,14
67924,322197,5
68048,389475,7
68104,474837,4
68105,277606,2
68117,503431,5
68212,284986,1
68216,261541,2
68217,209719,3
69029,427790,3
69071,219809,3
69121,240394,3
69184,65864,6
69221,114420,4
69236,260064,2
69252,166284,3
69301,421779,4
69302,8832,2
69447,18458,4
69457,422820,3
69670,390722,2
69673,306179,3
69768,183661,2
69797,92704,6
69944,56732,3
69975,380797,4
70006,455496,3
70007,173116,6
70015,391598,5
70049,183660,3
70068,163439,3
70087,185231,2
70104,325530,2
70181,15536,2
70235,180217,7
70285,146719,7
70369,260642,1
70486,338808,5
70494,326304,2
71299,172079,5
71387,175149,3
71405,299554,2
71411,104016,5
71414,112156,8
71471,293984,4
71717,265178,7
71815,191976,5
71822,154685,3
71842,422488,2
71845,429558,4
71878,25891,2
71910,193845,3
72321,485836,5
72414,327132,2
72418,321972,4
72423,422490,3
72424,213193,3
72425,8730,2
72427,101275,3
72428,447505,2
72441,188391,2
72444,445921,5
72446,198053,10
72449,271569,3
72462,259484,4
72502,245071,3
72573,344704,5
72598,139939,5
72608,321488,4
72621,259226,2
72638,411463,4
72690,504734,1
72791,222567,1
72809,346565,3
72897,313824,3
72913,315159,8
73119,425638,2
73204,161567,2
73250,19437,9
73336,17104,4
73379,234344,6
73404,100966,2
73415,106992,3
73428,251855,3
73436,41011,5
73459,223669,2
73463,199775,3
73466,314717,3
73467,382135,5
73469,397503,5
73472,34207,2
73476,96247,3
73501,114029,1
73699,305595,3
73706,179982,10
73758,244860,12
73768,131925,10
73781,377965,2
73786,308774,3
73847,203848,6
73906,307507,2
73948,457293,4
74031,173759,2
74040,425110,2
74170,297677,2
74394,487069,13
74511,55087,4
74518,297608,3
74561,476715,4
75883,269863,4
77077,91077,9
77228,79958,5
77362,394825,3
77537,344031,3
77631,395586,6
77888,29444,4
77916,263386,5
78063,394135,16
78132,404705,5
78819,251804,3
78823,138560,1
79016,198711,3
79288,83030,5
79338,147700,4
79922,291778,2
79932,8870,2
79935,202112,13
79941,297718,3
79942,131259,4
80002,501733,9
80010,384168,6
80013,335609,4
80015,299938,5
80020,297614,3
80125,333025,2
80126,288320,1
80130,184235,2
80131,217537,1
80154,364159,2
80298,34765,2
80299,34644,2
80307,217397,3
80308,249519,2
80310,335515,1
80371,455021,11
80374,372956,3
80383,261313,3
80401,226101,12
80408,372846,3
80417,176337,4
80424,127323,8
80429,291394,10
80432,127354,3
80443,147236,9
80447,373146,7
80503,504575,3
80636,266056,2
80670,303714,2
80693,265566,10
80772,245505,20
80809,170918,4
80857,314534,5
80880,183440,1
80919,239018,10
80973,163969,2
80977,240117,3
81008,154179,3
81010,339046,3
81023,189565,4
81102,275191,4
81140,511930,8
81255,203707,5
81298,259957,2
81364,258871,2
81410,158205,7
81442,68913,3
81445,115912,4
81531,107050,3
81583,234432,4
81626,209963,3
81687,28934,6
81780,102005,9
81794,224746,2
81796,319098,5
81873,14688,4
82154,184197,6
82159,447852,3
82170,299299,4
82174,45773,1
82536,459050,2
82685,285503,1
82942,290479,3
82952,153867,4
82978,480228,3
83147,302321,4
83699,255238,3
83701,16066,2
83774,517566,8
83808,455371,4
83976,320675,3
84047,376776,2
84048,376026,2
84049,426700,4
84145,46099,1
84172,222615,8
84222,273863,3
84223,143443,5
84229,458315,13
84277,480711,2
84305,58730,2
84521,4491,6
84637,307480,4
84641,70300,3
84687,255285,4
84689,81170,6
84691,254951,4
84695,265901,3
84696,87530,3
84767,214508,6
84825,168476,5
84952,67969,2
84973,430842,2
84974,437354,5
85023,280521,2
85063,199001,4
85378,369727,2
85419,41914,3
85420,56416,2
85422,375631,4
85596,270811,2
85600,255838,8
85653,244915,10
85790,173252,8
85835,240595,31
85836,232785,3
85837,242211,2
85845,210601,3
85863,422359,2
85866,456954,2
85869,339388,3
85870,361334,2
86013,98221,3
86017,379784,9
86029,98222,6
86047,233174,3
86048,8532,10
86132,310384,3
86141,373810,3
86173,374334,2
86174,483258,2
86175,223418,6
86199,237967,3
86222,190689,1
86272,245562,3
86275,260303,2
86277,176544,6
86293,56179,3
86297,260323,5
86384,492644,3
86414,255325,4
86547,77035,4
86863,480105,4
87021,53334,3
87023,231487,1
87168,367488,2
87184,365444,4
87279,231517,6
87292,459817,5
87322,433959,7
87431,178094,5
88072,210607,7
88120,289578,3
88121,220178,2
88141,103827,3
88200,276995,2
88215,217133,5
88220,246546,3
88228,198620,4
88229,228697,13
88248,322119,3
88253,346814,5
88264,236027,3
88286,83416,2
88289,143272,2
88299,433552,9
88300,95879,3
88302,127586,4
88304,257512,5
88306,17122,3
88316,479103,4
88317,298931,3
88332,294528,3
88351,125256,4
88361,405174,5
88388,55384,2
88390,94495,3
88398,140632,2
88412,247034,15
88424,93124,5
88425,369550,3
88426,343103,5
88428,234474,4
88430,359371,5
88431,68551,7
88433,283998,4
88434,58559,3
88435,300553,5
88436,175736,3
88437,93338,3
88442,315294,3
88443,179477,3
88444,374204,11
88445,218913,3
88452,161086,6
88461,60352,2
88464,55094,5
88467,179682,3
88468,56184,4
88489,143269,1
88505,90058,3
88508,279526,2
88512,290710,1
88518,298473,3
88530,317066,3
88536,313104,4
88538,383091,6
88539,186904,6
88542,298765,1
88547,65761,5
88549,38932,1
88550,312318,17
88551,185484,11
88552,223966,10
88554,326236,11
88556,310497,4
88748,264088,2
88797,273893,2
88822,172896,14
88824,353397,4
88913,369105,1
88918,341979,6
88954,276089,5
88972,514388,5
88993,183429,3
89120,370843,6
89121,49318,4
89132,25484,3
89233,307764,2
89343,248864,4
89347,259632,4
89472,265900,2
89473,117595,3
89477,104082,11
89478,326800,4
89483,174311,4
89515,290614,5
89535,258297,1
89536,330843,2
89564,344165,1
89573,183801,1
89589,298246,3
89615,260031,1
89685,70955,10
90538,131928,5
90949,16350,2
90991,26010,4
91080,367697,2
91085,16337,5
91103,491628,2
91140,186236,2
91181,34923,9
91184,34731,6
91258,216384,6
91273,390984,3
91318,34268,9
91564,222589,2
91630,258081,2
91776,101117,3
91777,329646,1
91778,61623,1
91787,8882,1
91788,148701,6
91789,330100,3
91790,212791,7
91791,15495,2
91792,133559,7
91793,197156,20
91794,455490,7
91795,15611,4
91796,330149,4
91797,535229,18
91834,270005,2
91836,255933,8
91844,284327,3
91894,424134,3
91896,377992,2
91899,261332,2
91903,280848,3
92033,189490,5
92059,232376,6
92062,504731,10
92068,508443,3
92071,129992,9
92115,189491,5
92187,14430,2
92219,242235,5
92289,237478,8
92384,15892,4
92386,200439,10
92602,319729,7
92610,327267,2
92614,60451,4
92616,274909,3
92623,350019,3
92629,255277,4
92638,364035,4
92929,271030,7
92933,235172,2
92961,35232,3
92962,151058,8
93511,413506,5
93519,250282,3
93521,271492,4
93661,457033,2
93672,237878,3
93675,220265,5
93679,219828,2
93683,189124,2
93685,220267,3
93686,338895,3
93688,389300,1
93689,219732,4
93691,168631,3
93694,164149,2
93696,189135,1
93697,158084,2
93740,269982,4
93775,207386,2
93833,111930,3
93859,279095,2
