,item,ingredient
873,258872,lemon juice
874,258872,port wine
875,258872,ice
876,369785,white rum
877,369785,cointreau liqueur
878,369785,dry vermouth
879,369785,sweet vermouth
880,369785,lemon juice
881,369785,maraschino cherry
882,483087,sherry wine
883,483087,orange juice
884,117582,caraway seeds
885,117582,fennel seed
886,117582,dill seeds
887,117582,star anise
888,117582,coriander seed
889,117582,clove
890,117582,cinnamon stick
891,117582,cumin seeds
892,117582,vodka
893,359515,gin
894,359515,apricot brandy
895,359515,calvados
896,276285,creme de cacao
897,276285,creme yvette
898,276285,brandy
899,276285,heavy cream
900,275046,frangelico
901,275046,vodka
902,275046,"lime, juice of"
903,286697,creme de cacao
904,286697,brandy
905,286697,cream
906,70551,fennel seed
907,70551,anise seed
908,70551,coriander seeds
909,70551,cloves
910,70551,angelica
911,70551,caster sugar
912,70551,vodka
913,517983,cointreau liqueur
914,517983,limoncello
915,517983,gin
916,517983,vermouth
917,517983,fruit
918,517983,ice cube
919,291366,amaretto
920,291366,kahlua
921,291366,french vanilla liquid coffee creamer
922,291366,ice
923,361431,vodka
924,361431,kahlua
925,361431,half-and-half
926,361431,ice cream
927,361431,cream of coconut
928,64153,tomato juice
929,64153,horseradish
930,64153,celery salt
931,64153,salt
932,64153,cracked pepper
933,64153,onion salt
934,64153,lime juice
935,64153,lemon juice
936,64153,worcestershire sauce
937,64153,tabasco sauce
938,417837,ice
939,417837,orange liqueur
940,417837,white tequila
941,417837,lime juice
942,417837,water
943,417837,white sugar
944,417837,lime
945,417837,coarse salt
946,391853,coconut rum
947,391853,limoncello
948,391853,berries
949,391853,coconut cream
950,391853,citrus punch
951,391853,grenadine
952,391853,ice
953,530752,prosecco
954,530752,liquor
955,530752,seltzer water
956,66402,vodka
957,66402,espresso
958,66402,godiva original chocolate liqueur
959,66402,kahlua
960,66402,chocolate syrup
961,293254,ice cube
962,293254,brandy
963,293254,pineapple juice
964,293254,maraschino cherries
965,293254,orange slices
966,355063,apple juice
967,355063,brewed black tea
968,355063,calvados
969,355063,cinnamon sticks
970,367080,brandy
971,367080,apple juice
972,367080,lemon juice
973,367080,lemon slice
974,98410,apples
975,98410,sugar
976,98410,cinnamon stick
977,98410,pure vanilla extract
978,98410,brandy
979,356404,water
980,356404,calvados
981,356404,honey liqueur
982,356404,nutmeg
983,356404,cinnamon stick
984,356404,lemon wedge
985,279527,apple liqueur
986,279527,vanilla vodka
987,279527,cinnamon
988,490291,pinot grigio wine
989,490291,apple cider
990,490291,club soda
991,490291,ginger brandy
992,490291,apples
993,490291,pears
994,192597,vodka
995,192597,green apple vodka
996,192597,apple cider
997,192597,cinnamon stick
998,382871,vodka
999,382871,coconut rum
1000,382871,prepared sweet-and-sour mix
1001,221153,sparkling apple cider
1002,221153,grenadine
1003,221153,lime juice
1004,221153,lemon
1005,221153,cherries
1006,264075,rum
1007,264075,apple juice
1008,264075,sour mix
1009,427204,honey
1010,427204,vanilla vodka
1011,427204,unsweetened apple juice
1012,427204,whole cloves
1013,427204,vanilla pod
1014,427204,cinnamon sticks
1015,150561,apple schnapps
1016,150561,cranberry juice
1017,150561,champagne
1018,187628,apple cider
1019,187628,champagne
1020,67415,vodka
1021,67415,apple liqueur
1022,67415,apple
1023,145893,vodka
1024,145893,sour apple schnapps
1025,145893,apple juice
1026,145893,hard candies
1027,145893,apple
1028,202658,apple juice
1029,202658,cinnamon sticks
1030,202658,honey
1031,202658,white rum
1032,202658,lemon juice
1033,202658,nutmeg
1034,202658,allspice
1035,319373,apple juice
1036,319373,apple cider
1037,319373,cinnamon sticks
1038,319373,sugar
1039,319373,everclear alcohol
1040,474631,apple juice
1041,474631,apple cider
1042,474631,sugar
1043,474631,cinnamon sticks
1044,474631,whole cloves
1045,474631,everclear alcohol
1046,29781,apple juice
1047,29781,vodka
1048,29781,vanilla schnapps
1049,29781,butterscotch schnapps
1050,29781,lemon juice
1051,29781,apple pie spice
1052,29781,cinnamon sticks
1053,382538,white tequila
